,sigma,Al_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
73,0.2,1,-5,260.0,11.0,56,job__16_456800__260_000000__11_0,14537240,-3.74857866,156.53719008264463,-3.74637866,16.456800027713822,0.0235244399999996
74,0.2,1,-5,260.0,11.0,56,job__16_621368__260_000000__11_0,14537241,-3.74821514,158.39444027047332,-3.74601514,16.621368057364204,0.0233250699999998
75,0.2,1,-5,260.0,11.0,56,job__16_785936__260_000000__11_0,14537242,-3.7470679,159.60255447032307,-3.7448679,16.785936017329465,0.0231358800000003
76,0.2,1,-5,260.0,11.0,56,job__16_950504__260_000000__11_0,14537243,-3.74522344,161.51990984222388,-3.74302344,16.95050393855773,0.02295895
77,0.2,1,-5,260.0,11.0,56,job__17_115072__260_000000__11_0,14537244,-3.74271471,163.2509391435011,-3.74051471,17.11507206741567,0.0227895799999999
78,0.2,1,-5,260.0,11.0,56,job__17_279640__260_000000__11_0,14537245,-3.739431,164.09842223891812,-3.737231,17.27964009818471,0.0226268999999996
79,0.2,1,-5,260.0,11.0,56,job__17_444208__260_000000__11_0,14537246,-3.73564749,166.0909090909091,-3.73344749,17.44420790217213,0.0224766
80,0.2,1,-5,260.0,11.0,56,job__17_608776__260_000000__11_0,14537247,-3.73126676,167.7137490608565,-3.72906676,17.608776029999344,0.0223330999999999
81,0.2,1,-5,260.0,11.0,56,job__17_773344__260_000000__11_0,14537248,-3.72629119,169.31855747558228,-3.72409119,17.7733439162409,0.0221971199999999
82,0.2,1,-5,260.0,11.0,56,job__17_937912__260_000000__11_0,14537249,-3.7208313,171.16228399699474,-3.7186313,17.937911902437854,0.0220642300000002
83,0.2,1,-5,260.0,11.0,56,job__18_102480__260_000000__11_0,14537250,-3.71487822,172.24417731029305,-3.71267822,18.102479948783508,0.0219640299999999
84,0.2,1,-5,280.0,11.0,56,job__14_811120__280_000000__11_0,14537251,-3.70031152,157.79939894815928,-3.69881152,14.811120005160475,0.02650634
85,0.2,1,-5,280.0,11.0,56,job__14_975688__280_000000__11_0,14537252,-3.71052257,159.38617580766342,-3.70902257,14.975687943223765,0.0260975999999999
86,0.2,1,-5,280.0,11.0,56,job__15_140256__280_000000__11_0,14537253,-3.71938421,160.96093163035312,-3.71788421,15.1402559281593,0.0257211800000001
87,0.2,1,-5,280.0,11.0,56,job__15_304824__280_000000__11_0,14537254,-3.72702497,162.83621337340347,-3.72552497,15.304824014040012,0.0253710699999998
88,0.2,1,-5,280.0,11.0,56,job__15_469392__280_000000__11_0,14537255,-3.73334324,164.20661157024793,-3.73184324,15.46939195324227,0.02504937
89,0.2,1,-5,280.0,11.0,56,job__15_633960__280_000000__11_0,14537256,-3.7386305,166.25319308790384,-3.7371305,15.633960106125867,0.0247505499999998
90,0.2,1,-5,280.0,11.0,56,job__15_798528__280_000000__11_0,14537257,-3.74281984,168.236664162284,-3.74131984,15.7985280109301,0.0244761099999997
91,0.2,1,-5,280.0,11.0,56,job__15_963096__280_000000__11_0,14537258,-3.74594915,169.82344102178814,-3.74444915,15.963096009423694,0.0242185900000002
92,0.2,1,-5,280.0,11.0,56,job__16_127664__280_000000__11_0,14537259,-3.7481056,171.6671675432006,-3.7466056,16.127664046770466,0.0239796899999999
93,0.2,1,-5,280.0,11.0,56,job__16_292232__280_000000__11_0,14537260,-3.7492904,173.10969196093163,-3.7477904,16.292231879585028,0.0237560399999998
94,0.2,1,-5,280.0,11.0,56,job__16_456800__280_000000__11_0,14537261,-3.7497235,175.16528925619835,-3.7482235,16.456800027713822,0.0235469099999998
95,0.2,1,-5,280.0,11.0,56,job__16_621368__280_000000__11_0,14537262,-3.7492602,176.5777610818933,-3.7477602,16.621368057364204,0.0233513799999998
96,0.2,1,-5,280.0,11.0,56,job__16_785936__280_000000__11_0,14537263,-3.74806512,178.5612321562735,-3.74656512,16.785936017329465,0.0231686999999998
97,0.2,1,-5,280.0,11.0,56,job__16_950504__280_000000__11_0,14537264,-3.74607884,180.25619834710744,-3.74457884,16.95050393855773,0.02299738
98,0.2,1,-5,280.0,11.0,56,job__17_115072__280_000000__11_0,14537265,-3.74345392,181.96919609316305,-3.74195392,17.11507206741567,0.0228340799999999
99,0.2,1,-5,280.0,11.0,56,job__17_279640__280_000000__11_0,14537266,-3.74015931,183.84447783621337,-3.73865931,17.27964009818471,0.0226783899999998
100,0.2,1,-5,280.0,11.0,56,job__17_444208__280_000000__11_0,14537267,-3.73626148,185.70172802404207,-3.73476148,17.44420790217213,0.0225297399999999
101,0.2,1,-5,280.0,11.0,56,job__17_608776__280_000000__11_0,14537268,-3.73176133,186.96393688955672,-3.73026133,17.608776029999344,0.0223878399999999
102,0.2,1,-5,280.0,11.0,56,job__17_773344__280_000000__11_0,14537269,-3.72675551,189.0601051840721,-3.72525551,17.7733439162409,0.0222518800000002
103,0.2,1,-5,280.0,11.0,56,job__17_937912__280_000000__11_0,14537270,-3.72123838,190.66190833959428,-3.71973838,17.937911902437854,0.0221222500000002
104,0.2,1,-5,280.0,11.0,56,job__18_102480__280_000000__11_0,14537271,-3.71527115,192.53719008264463,-3.71377115,18.102479948783508,0.0220311799999999
105,0.2,1,-5,300.0,11.0,56,job__14_811120__300_000000__11_0,14537272,-3.7015974,174.84072126220886,-3.7004974,14.811120005160475,0.0264865300000001
106,0.2,1,-5,300.0,11.0,56,job__14_975688__300_000000__11_0,14537273,-3.71170664,176.5777610818933,-3.71060664,14.975687943223765,0.0260851899999998
107,0.2,1,-5,300.0,11.0,56,job__15_140256__300_000000__11_0,14537274,-3.72049738,178.5612321562735,-3.71939738,15.1402559281593,0.0257146600000002
108,0.2,1,-5,300.0,11.0,56,job__15_304824__300_000000__11_0,14537275,-3.72796819,180.65289256198344,-3.72686819,15.304824014040012,0.0253739799999999
109,0.2,1,-5,300.0,11.0,56,job__15_469392__300_000000__11_0,14537276,-3.73428795,182.45604808414728,-3.73318795,15.46939195324227,0.02505792
110,0.2,1,-5,300.0,11.0,56,job__15_633960__300_000000__11_0,14537277,-3.7394446,184.6198347107438,-3.7383446,15.633960106125867,0.0247653099999998
111,0.2,1,-5,300.0,11.0,56,job__15_798528__300_000000__11_0,14537278,-3.74352918,186.603305785124,-3.74242918,15.7985280109301,0.02449257
112,0.2,1,-5,300.0,11.0,56,job__15_963096__300_000000__11_0,14537279,-3.74656319,188.15852742299023,-3.74546319,15.963096009423694,0.0242391800000003
113,0.2,1,-5,300.0,11.0,56,job__16_127664__300_000000__11_0,14537280,-3.74867937,190.1690458302029,-3.74757937,16.127664046770466,0.0240040499999998
114,0.2,1,-5,300.0,11.0,56,job__16_292232__300_000000__11_0,14537281,-3.74989738,192.3208114199849,-3.74879738,16.292231879585028,0.0237872099999996
115,0.2,1,-5,300.0,11.0,56,job__16_456800__300_000000__11_0,14537282,-3.7502282,194.06987227648384,-3.7491282,16.456800027713822,0.0235820100000001
116,0.2,1,-5,300.0,11.0,56,job__16_621368__300_000000__11_0,14537283,-3.74975156,196.3959429000752,-3.74865156,16.621368057364204,0.0233907900000001
117,0.2,1,-5,300.0,11.0,56,job__16_785936__300_000000__11_0,14537284,-3.74851887,197.8564988730278,-3.74741887,16.785936017329465,0.0232095000000001
118,0.2,1,-5,300.0,11.0,56,job__16_950504__300_000000__11_0,14537285,-3.74659818,200.27272727272728,-3.74549818,16.95050393855773,0.0230391700000001
119,0.2,1,-5,300.0,11.0,56,job__17_115072__300_000000__11_0,14537286,-3.7439198,201.6250939143501,-3.7428198,17.11507206741567,0.0228755199999999
120,0.2,1,-5,300.0,11.0,56,job__17_279640__300_000000__11_0,14537287,-3.74062071,203.8069120961683,-3.73952071,17.27964009818471,0.02272315
121,0.2,1,-5,300.0,11.0,56,job__17_444208__300_000000__11_0,14537288,-3.73674427,205.59203606311044,-3.73564427,17.44420790217213,0.02257913
122,0.2,1,-5,300.0,11.0,56,job__17_608776__300_000000__11_0,14537289,-3.73231929,208.23516153268216,-3.73121929,17.608776029999344,0.0224412499999999
123,0.2,1,-5,300.0,11.0,56,job__17_773344__300_000000__11_0,14537290,-3.72727373,210.05634861006763,-3.72617373,17.7733439162409,0.0223088399999999
124,0.2,1,-5,300.0,11.0,56,job__17_937912__300_000000__11_0,14537291,-3.72172186,211.6431254695717,-3.72062186,17.937911902437854,0.0221800399999998
125,0.2,1,-5,300.0,11.0,56,job__18_102480__300_000000__11_0,14537292,-3.71579726,213.4643125469572,-3.71469726,18.102479948783508,0.0220881699999999
126,0.2,1,-5,320.0,11.0,56,job__14_811120__320_000000__11_0,14537293,-3.7020889,192.53719008264463,-3.7012889,14.811120005160475,0.02649165
127,0.2,1,-5,320.0,11.0,56,job__14_975688__320_000000__11_0,14537294,-3.71218416,194.6829451540196,-3.71138416,14.975687943223765,0.0260936200000001
128,0.2,1,-5,320.0,11.0,56,job__15_140256__320_000000__11_0,14537295,-3.72092619,196.6123215627348,-3.72012619,15.1402559281593,0.0257266599999996
129,0.2,1,-5,320.0,11.0,56,job__15_304824__320_000000__11_0,14537296,-3.72844311,198.9924868519909,-3.72764311,15.304824014040012,0.0253867699999998
130,0.2,1,-5,320.0,11.0,56,job__15_469392__320_000000__11_0,14537297,-3.73474916,201.22839969947407,-3.73394916,15.46939195324227,0.0250716100000003
131,0.2,1,-5,320.0,11.0,56,job__15_633960__320_000000__11_0,14537298,-3.7398641,202.8512396694215,-3.7390641,15.633960106125867,0.0247809299999999
