,sigma,Au_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
98,0.2,1,-5,280.0,11.0,56,job__18_697432__280_000000__11_0,14539828,-2.47497525,198.99248685199095,-1.93737525,18.697431994219205,0.0463140599999998
99,0.2,1,-5,280.0,11.0,56,job__18_877215__280_000000__11_0,14539830,-2.46798122,200.88580015026292,-1.93038122,18.87721508127356,0.0450992700000001
100,0.2,1,-5,280.0,11.0,56,job__19_056998__280_000000__11_0,14539831,-2.44888907,202.4184823441022,-1.91128907,19.056998124961535,0.04384049
101,0.2,1,-5,280.0,11.0,56,job__19_236781__280_000000__11_0,14539833,-2.44654567,204.5642374154771,-1.90894567,19.236780915397716,0.0055920099999999
102,0.2,1,-5,280.0,11.0,56,job__19_416564__280_000000__11_0,14539836,-2.44436059,206.82268970698723,-1.90676059,19.41656396353312,0.0416017499999998
103,0.2,1,-5,280.0,11.0,56,job__19_596347__280_000000__11_0,14539837,-2.42826127,208.48760330578511,-1.8906612700000005,19.596347134465297,0.0055505799999999
104,0.2,1,-5,280.0,11.0,56,job__19_776130__280_000000__11_0,14539839,-2.4197808,210.5251690458302,-1.8821808,19.77612988878544,0.0393619600000003
105,0.2,1,-5,300.0,11.0,56,job__16_180470__300_000000__11_0,14539841,-2.47192086,190.66190833959428,-2.18042086,16.180470069950175,0.99734006
106,0.2,1,-5,300.0,11.0,56,job__16_360253__300_000000__11_0,14539843,-2.49503764,192.96994740796396,-2.20353764,16.36025295388404,0.0666400899999999
107,0.2,1,-5,300.0,11.0,56,job__16_540036__300_000000__11_0,14539845,-2.51570697,195.38617580766345,-2.22420697,16.540035900560717,0.0057625099999998
108,0.2,1,-5,300.0,11.0,56,job__16_719819__300_000000__11_0,14539847,-2.52889744,197.2434259954921,-2.23739744,16.719819008406734,0.0634684999999999
109,0.2,1,-5,300.0,11.0,56,job__16_899602__300_000000__11_0,14539849,-2.54453563,199.6957175056349,-2.25303563,16.89960207716002,0.0619599700000002
110,0.2,1,-5,300.0,11.0,56,job__17_079385__300_000000__11_0,14539851,-2.55083174,201.22839969947407,-2.25933174,17.079385071350796,0.00584673
111,0.2,1,-5,300.0,11.0,56,job__17_259168__300_000000__11_0,14539853,-2.56142442,203.6626596543952,-2.26992442,17.259168100301405,0.0589838900000003
112,0.2,1,-5,300.0,11.0,56,job__17_438951__300_000000__11_0,14539854,-2.56612525,205.59203606311044,-2.27462525,17.43895088988555,0.0575943900000002
113,0.2,1,-5,300.0,11.0,56,job__17_618734__300_000000__11_0,14539857,-2.57459968,208.23516153268216,-2.28309968,17.61873402496699,0.0562444600000002
114,0.2,1,-5,300.0,11.0,56,job__17_798517__300_000000__11_0,14539858,-2.57531389,210.12847483095416,-2.28381389,17.798516894651115,0.0058983400000003
115,0.2,1,-5,300.0,11.0,56,job__17_978300__300_000000__11_0,14539860,-2.5754772,212.18407212622088,-2.2839772,17.978299963988007,0.0534920699999998
116,0.2,1,-5,300.0,11.0,56,job__18_158083__300_000000__11_0,14539862,-2.57389678,214.25770097670923,-2.28239678,18.15808296150213,0.0058849699999998
117,0.2,1,-5,300.0,11.0,56,job__18_337866__300_000000__11_0,14539864,-2.57044152,216.25920360631105,-2.27894152,18.337865885509167,0.0508454
118,0.2,1,-5,300.0,11.0,56,job__18_517649__300_000000__11_0,14539866,-2.56568723,218.19759579263712,-2.27418723,18.517648993743016,0.0495575800000001
119,0.2,1,-5,300.0,11.0,56,job__18_697432__300_000000__11_0,14539868,-2.56565711,220.97445529676932,-2.27415711,18.697431994219205,0.0058558500000001
120,0.2,1,-5,300.0,11.0,56,job__18_877215__300_000000__11_0,14539870,-2.55798542,222.9038317054846,-2.26648542,18.87721508127356,1.0879331899999998
121,0.2,1,-5,300.0,11.0,56,job__19_056998__300_000000__11_0,14539871,-2.54830197,224.67693463561235,-2.25680197,19.056998124961535,1.0909504300000004
122,0.2,1,-5,300.0,11.0,56,job__19_236781__300_000000__11_0,14539873,-2.54197243,227.0796393688956,-2.25047243,19.236780915397716,1.09432982
123,0.2,1,-5,300.0,11.0,56,job__19_416564__300_000000__11_0,14539875,-2.53082561,228.97295266716756,-2.23932561,19.41656396353312,1.0968858200000002
124,0.2,1,-5,300.0,11.0,56,job__19_596347__300_000000__11_0,14539877,-2.52162108,231.2449286250939,-2.23012108,19.596347134465297,1.09964479
125,0.2,1,-5,300.0,11.0,56,job__19_776130__300_000000__11_0,14539879,-2.50945841,233.1923365890308,-2.21795841,19.77612988878544,1.1019359399999995
126,0.2,1,-5,320.0,11.0,56,job__16_180470__320_000000__11_0,14539881,-2.46064231,210.5251690458302,-2.26234231,16.180470069950175,3.580999999996948e-05
127,0.2,1,-5,320.0,11.0,56,job__16_360253__320_000000__11_0,14539882,-2.48170258,212.77911344853493,-2.28340258,16.36025295388404,0.06716707
128,0.2,1,-5,320.0,11.0,56,job__16_540036__320_000000__11_0,14539884,-2.49950077,214.72652141247184,-2.30120077,16.540035900560717,0.06557666
129,0.2,1,-5,320.0,11.0,56,job__16_719819__320_000000__11_0,14539886,-2.51511395,217.06160781367396,-2.31681395,16.719819008406734,0.0640089299999999
130,0.2,1,-5,320.0,11.0,56,job__16_899602__320_000000__11_0,14539888,-2.52846766,219.51389932381667,-2.33016766,16.89960207716002,0.0625053000000002
131,0.2,1,-5,320.0,11.0,56,job__17_079385__320_000000__11_0,14539890,-2.53971805,222.16453794139744,-2.34141805,17.079385071350796,1.0516923200000003
