,sigma,Pb_d,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
108,0.2,1,-5,300.0,11.0,56,job__29_760837__300_000000__11_0,14551931,-3.54218,350.9609316303531,-3.4923800000000003,29.76083694084091,0.0029610799999999493
109,0.2,1,-5,300.0,11.0,56,job__30_080846__300_000000__11_0,14551935,-3.54849204,355.05409466566493,-3.4986920400000003,30.080846067068347,0.0028264000000000067
110,0.2,1,-5,300.0,11.0,56,job__30_400855__300_000000__11_0,14551939,-3.55337168,358.4259954921112,-3.5035716800000003,30.40085492318715,0.0027379399999998277
111,0.2,1,-5,300.0,11.0,56,job__30_720864__300_000000__11_0,14551944,-3.5574859,362.7716003005259,-3.5076859000000002,30.720864044920372,0.002614420000000006
112,0.2,1,-5,300.0,11.0,56,job__31_040873__300_000000__11_0,14551950,-3.56026305,366.1435011269722,-3.5104630500000003,31.04087286482069,0.002498629999999835
113,0.2,1,-5,300.0,11.0,56,job__31_360882__300_000000__11_0,14551970,-3.56214194,369.60555972952665,-3.51234194,31.360881886549734,6.183999999986867e-05
114,0.2,1,-5,300.0,11.0,56,job__31_680891__300_000000__11_0,14551973,-3.56338523,373.81743050338093,-3.5135852300000003,31.68089116735626,5.100000000002325e-05
115,0.2,1,-5,300.0,11.0,56,job__32_000900__300_000000__11_0,14551976,-3.56360267,377.45980465815177,-3.51380267,32.000899882353664,0.0021713100000000374
116,0.2,1,-5,300.0,11.0,56,job__32_320909__300_000000__11_0,14551977,-3.56307031,381.1923365890308,-3.5132703100000002,32.32090894216323,0.0020715199999998823
117,0.2,1,-5,300.0,11.0,56,job__32_640918__300_000000__11_0,14551981,-3.56187484,385.1412471825695,-3.5120748400000004,32.640917926556206,6.139999999987822e-06
118,0.2,1,-5,300.0,11.0,56,job__32_960927__300_000000__11_0,14552005,-3.55994899,388.9819684447784,-3.5101489900000002,32.96092694820336,0.001760849999999703
119,0.2,1,-5,300.0,11.0,56,job__33_280936__300_000000__11_0,14552009,-3.55737626,392.8677685950413,-3.50757626,33.28093585488319,1.8799999996765848e-06
120,0.2,1,-5,300.0,11.0,56,job__33_600945__300_000000__11_0,14552014,-3.55411158,396.56423741547707,-3.50431158,33.60094497602181,0.0015837600000003782
121,0.2,1,-5,300.0,11.0,56,job__33_920954__300_000000__11_0,14552018,-3.55038274,400.64537941397447,-3.50058274,33.92095391909316,0.001498620000000006
122,0.2,1,-5,300.0,11.0,56,job__34_240963__300_000000__11_0,14552023,-3.54594177,404.1840721262209,-3.4961417700000004,34.24096311123453,0.0014170299999998193
123,0.2,1,-5,300.0,11.0,56,job__34_560972__300_000000__11_0,14552028,-3.54108497,408.060856498873,-3.49128497,34.56097219244739,0.0013371300000000197
124,0.2,1,-5,300.0,11.0,56,job__34_880981__300_000000__11_0,14552031,-3.53566237,411.70323065364386,-3.48586237,34.88098117400507,5.885999999977187e-05
125,0.2,1,-5,300.0,11.0,56,job__35_200990__300_000000__11_0,14552037,-3.52966575,415.02103681442526,-3.47986575,35.20099001770926,6.664999999994592e-05
126,0.2,1,-5,320.0,11.0,56,job__28_800810__320_000000__11_0,14552041,-3.51560291,374.2141247182569,-3.4801029100000003,28.800810132360436,0.0032628099999998383
127,0.2,1,-5,320.0,11.0,56,job__29_120819__320_000000__11_0,14552046,-3.52573106,378.77610818933135,-3.49023106,29.120818939160543,0.0031039100000000985
128,0.2,1,-5,320.0,11.0,56,job__29_440828__320_000000__11_0,14552050,-3.53441795,383.0495867768595,-3.49891795,29.440828149658053,0.002884890000000251
129,0.2,1,-5,320.0,11.0,56,job__29_760837__320_000000__11_0,14552055,-3.54178526,387.1427498121713,-3.5062852600000003,29.76083694084091,0.0027415600000000317
130,0.2,1,-5,320.0,11.0,56,job__30_080846__320_000000__11_0,14552060,-3.54759108,390.2531930879038,-3.5120910800000003,30.080846067068347,0.0026060499999998044
131,0.2,1,-5,320.0,11.0,56,job__30_400855__320_000000__11_0,14552063,-3.55290472,395.21187077385423,-3.51740472,30.40085492318715,0.002515470000000075
132,0.2,1,-5,320.0,11.0,56,job__30_720864__320_000000__11_0,14552069,-3.55679582,399.3471074380165,-3.52129582,30.720864044920372,0.0023866500000000457
133,0.2,1,-5,320.0,11.0,56,job__31_040873__320_000000__11_0,14552073,-3.55962664,403.282494365139,-3.52412664,31.04087286482069,0.0022694599999999454
134,0.2,1,-5,320.0,11.0,56,job__31_360882__320_000000__11_0,14552078,-3.56158771,407.3756574004508,-3.52608771,31.360881886549734,3.738000000019781e-05
135,0.2,1,-5,320.0,11.0,56,job__31_680891__320_000000__11_0,14552082,-3.56275201,411.70323065364386,-3.52725201,31.68089116735626,0.0020464699999998004
136,0.2,1,-5,320.0,11.0,56,job__32_000900__320_000000__11_0,14552086,-3.56296419,415.74229902329074,-3.5274641900000003,32.000899882353664,0.0019418299999998112
137,0.2,1,-5,320.0,11.0,56,job__32_320909__320_000000__11_0,14552091,-3.5625698,420.26821938392186,-3.5270698,32.32090894216323,1.3700000001115598e-06
138,0.2,1,-5,320.0,11.0,56,job__32_640918__320_000000__11_0,14552096,-3.56125301,424.2712246431255,-3.5257530100000003,32.640917926556206,0.0017430299999996457
139,0.2,1,-5,320.0,11.0,56,job__32_960927__320_000000__11_0,14552100,-3.55936741,428.6228399699474,-3.5238674100000003,32.96092694820336,2.7400000002231195e-06
140,0.2,1,-5,320.0,11.0,56,job__33_280936__320_000000__11_0,14552104,-3.55669864,432.5897821187077,-3.52119864,33.28093585488319,3.360000000007801e-06
141,0.2,1,-5,320.0,11.0,56,job__33_600945__320_000000__11_0,14552107,-3.55337241,436.46205860255446,-3.5178724100000003,33.60094497602181,0.0014718700000000418
142,0.2,1,-5,320.0,11.0,56,job__33_920954__320_000000__11_0,14552111,-3.54969835,441.04207362885046,-3.51419835,33.92095391909316,0.0013877300000002535
143,0.2,1,-5,320.0,11.0,56,job__34_240963__320_000000__11_0,14552114,-3.54532218,445.1712997746056,-3.50982218,34.24096311123453,0.0013096400000001118
144,0.2,1,-5,320.0,11.0,56,job__34_560972__320_000000__11_0,14552116,-3.54033989,449.0480841472577,-3.50483989,34.56097219244739,6.584999999992291e-05
145,0.2,1,-5,320.0,11.0,56,job__34_880981__320_000000__11_0,14552119,-3.53505142,453.4718256949662,-3.49955142,34.88098117400507,7.455999999983476e-05
146,0.2,1,-5,320.0,11.0,56,job__35_200990__320_000000__11_0,14552122,-3.52901362,457.04207362885046,-3.4935136200000003,35.20099001770926,0.00108088999999989
147,0.2,1,-5,340.0,11.0,56,job__28_800810__340_000000__11_0,14552127,-3.51502361,410.06235912847484,-3.49282361,28.800810132360436,5.100000000091143e-07
148,0.2,1,-5,340.0,11.0,56,job__29_120819__340_000000__11_0,14552129,-3.52497513,414.55221637866265,-3.50277513,29.120818939160543,0.002940979999999982
