,sigma,Cu_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
1171,0.2,1,-5,400.0,13.0,84,job__12_706856__400_000000__13_0,14519673,-3.68981086,230.827036868457,-3.44971086,12.706855923925168,0.6335067300000001
1172,0.2,1,-5,400.0,13.0,84,job__12_826732__400_000000__13_0,14519674,-3.68483455,233.1429221665908,-3.44473455,12.826731920937846,0.6400409899999997
1173,0.2,1,-5,400.0,13.0,84,job__12_946608__400_000000__13_0,14519675,-3.67768129,235.24032771961765,-3.4375812900000002,12.94660798183227,0.6464822299999997
1174,0.2,1,-5,400.0,13.0,84,job__13_066484__400_000000__13_0,14519676,-3.6681051,237.0700955848885,-3.4280051,13.066484006500637,0.6526606800000003
1175,0.2,1,-5,400.0,13.0,84,job__13_186360__400_000000__13_0,14519677,-3.66238616,239.5170687300865,-3.42228616,13.186359966886624,0.017287159999999968
1176,0.2,1,-5,400.0,15.0,120,job__10_788840__400_000000__15_0,14519678,-3.63465256,195.91733333333335,-3.39455256,10.788840043144676,0.4965289999999998
1177,0.2,1,-5,400.0,15.0,120,job__10_908716__400_000000__15_0,14519679,-3.65040028,198.26577777777777,-3.41030028,10.908716080582742,0.024526310000000162
1178,0.2,1,-5,400.0,15.0,120,job__11_028592__400_000000__15_0,14519680,-3.66192801,200.31377777777777,-3.42182801,11.02859192202126,0.5167183400000002
1179,0.2,1,-5,400.0,15.0,120,job__11_148468__400_000000__15_0,14519681,-3.6744939,202.71970370370371,-3.4343939,11.14846807761037,0.5264012899999999
1180,0.2,1,-5,400.0,15.0,120,job__11_268344__400_000000__15_0,14519682,-3.6820989,204.71081481481482,-3.4419989,11.26834401530571,0.5360565200000003
1181,0.2,1,-5,400.0,15.0,120,job__11_388220__400_000000__15_0,14519683,-3.68880046,206.76592592592593,-3.44870046,11.388220018438572,0.5453973800000003
1182,0.2,1,-5,400.0,15.0,120,job__11_508096__400_000000__15_0,14519684,-3.69453493,208.90637037037038,-3.45443493,11.508096041609539,0.55463175
1183,0.2,1,-5,400.0,15.0,120,job__11_627972__400_000000__15_0,14519685,-3.6998428,211.17837037037037,-3.4597428,11.627972070313696,0.02216028999999997
1184,0.2,1,-5,400.0,15.0,120,job__11_747848__400_000000__15_0,14519686,-3.70320661,213.3917037037037,-3.46310661,11.747847910787167,0.00024245000000000516
1185,0.2,1,-5,400.0,15.0,120,job__11_867724__400_000000__15_0,14519687,-3.70615052,215.66962962962964,-3.46605052,11.867723955280354,0.5807147799999997
1186,0.2,1,-5,400.0,15.0,120,job__11_987600__400_000000__15_0,14519688,-3.70634985,217.7674074074074,-3.46624985,11.987599999437174,0.021057659999999867
1187,0.2,1,-5,400.0,15.0,120,job__12_107476__400_000000__15_0,14519689,-3.70496415,219.80118518518518,-3.46486415,12.107476005107518,0.020639889999999994
1188,0.2,1,-5,400.0,15.0,120,job__12_227352__400_000000__15_0,14519690,-3.70357344,221.99851851851852,-3.46347344,12.227352092537338,0.6049899000000001
1189,0.2,1,-5,400.0,15.0,120,job__12_347228__400_000000__15_0,14519691,-3.70232475,224.30962962962963,-3.46222475,12.34722792683572,0.6124749899999999
1190,0.2,1,-5,400.0,15.0,120,job__12_467104__400_000000__15_0,14519692,-3.69945243,226.56562962962963,-3.45935243,12.46710391000743,0.6198567099999996
1191,0.2,1,-5,400.0,15.0,120,job__12_586980__400_000000__15_0,14519693,-3.69407081,228.59466666666665,-3.45397081,12.586979965738319,0.62707398
1192,0.2,1,-5,400.0,15.0,120,job__12_706856__400_000000__15_0,14519694,-3.68815759,230.6391111111111,-3.44805759,12.706855923925168,0.63398888
1193,0.2,1,-5,400.0,15.0,120,job__12_826732__400_000000__15_0,14519695,-3.6833434,232.95733333333334,-3.4432434,12.826731920937846,0.64058174
1194,0.2,1,-5,400.0,15.0,120,job__12_946608__400_000000__15_0,14519696,-3.67770395,235.2471111111111,-3.43760395,12.94660798183227,0.6469023599999999
1195,0.2,1,-5,400.0,15.0,120,job__13_066484__400_000000__15_0,14519697,-3.67120644,237.51555555555555,-3.43110644,13.066484006500637,0.6530489400000001
1196,0.2,1,-5,400.0,15.0,120,job__13_186360__400_000000__15_0,14519698,-3.66175441,239.464,-3.42165441,13.186359966886624,0.6590205
1197,0.2,1,-5,400.0,17.0,165,job__10_788840__400_000000__17_0,14519699,-3.63485382,195.91634439242824,-3.39475382,10.788840043144676,0.4958305999999997
1198,0.2,1,-5,400.0,17.0,165,job__10_908716__400_000000__17_0,14519700,-3.64984542,198.15367392631794,-3.40974542,10.908716080582742,0.5060284699999995
1199,0.2,1,-5,400.0,17.0,165,job__11_028592__400_000000__17_0,14519701,-3.66236509,200.31772847547325,-3.4222650900000002,11.02859192202126,0.5160740999999995
1200,0.2,1,-5,400.0,17.0,165,job__11_148468__400_000000__17_0,14519702,-3.67367258,202.58070425401993,-3.43357258,11.14846807761037,0.52583994
