,sigma,Ir_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
7592,0.2,1,-5,1200.0,61.0,5456,job__15_358128__1200_000000__61_0,14573174,-9.37003156,1449.6771932452496,-9.36833156,15.358127899215242,0.014510350000000116
7593,0.2,1,-5,1200.0,61.0,5456,job__15_503016__1200_000000__61_0,14573176,-9.35318066,1463.3369885585137,-9.35148066,15.50301596788761,0.00010321999999973741
7594,0.2,1,-5,1200.0,61.0,5456,job__15_647904__1200_000000__61_0,14573178,-9.33429032,1477.0289010974486,-9.33259032,15.647903909171479,0.00010321000000068636
7595,0.2,1,-5,1200.0,61.0,5456,job__15_792792__1200_000000__61_0,14573179,-9.31348492,1490.7244703301158,-9.311784920000001,15.792791934619842,0.0006431599999991988
7596,0.2,1,-5,1200.0,61.0,5456,job__15_937680__1200_000000__61_0,14573181,-9.2908837,1504.3804591573744,-9.2891837,15.937679887966002,0.013869339999999397
7597,0.2,1,-5,1200.0,63.0,5984,job__13_039920__1200_000000__63_0,14573183,-9.22553429,1230.8659931932796,-9.223834290000001,13.039920074055445,1.5200000014203852e-06
7598,0.2,1,-5,1200.0,63.0,5984,job__13_184808__1200_000000__63_0,14573185,-9.26600111,1244.5238335192985,-9.26430111,13.184807943523353,0.015576030000000074
7599,0.2,1,-5,1200.0,63.0,5984,job__13_329696__1200_000000__63_0,14573187,-9.30103493,1258.207221042444,-9.29933493,13.329696018884235,0.00010361999999908278
7600,0.2,1,-5,1200.0,63.0,5984,job__13_474584__1200_000000__63_0,14573190,-9.33095407,1271.8990149851827,-9.329254070000001,13.47458391231667,0.015586359999998578
7601,0.2,1,-5,1200.0,63.0,5984,job__13_619472__1200_000000__63_0,14573191,-9.35605904,1285.5202062012343,-9.35435904,13.619471999757408,0.0003688700000008538
7602,0.2,1,-5,1200.0,63.0,5984,job__13_764360__1200_000000__63_0,14573193,-9.37663256,1299.249377117102,-9.37493256,13.764359906920996,0.015540800000000132
7603,0.2,1,-5,1200.0,63.0,5984,job__13_909248__1200_000000__63_0,14573195,-9.39293979,1312.8911404655926,-9.39123979,13.909247991834121,0.00010394999999974175
7604,0.2,1,-5,1200.0,63.0,5984,job__14_054136__1200_000000__63_0,14573197,-9.4052313,1326.5672333601283,-9.403531300000001,14.054136029839507,1.077570269999999
