,sigma,Pb_d,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
75,0.2,1,-5,260.0,11.0,56,job__32_640918__260_000000__11_0,14551782,-3.56190315,310.40495867768595,-3.49900315,32.640917926556206,0.0022249099999998
76,0.2,1,-5,260.0,11.0,56,job__32_960927__260_000000__11_0,14551785,-3.55996572,313.7137490608565,-3.49706572,32.96092694820336,0.0021328299999998
77,0.2,1,-5,260.0,11.0,56,job__33_280936__260_000000__11_0,14551792,-3.55737862,316.9774605559729,-3.49447862,33.28093585488319,2.0929999999808047e-05
78,0.2,1,-5,260.0,11.0,56,job__33_600945__260_000000__11_0,14551796,-3.55415449,319.90308039068367,-3.49125449,33.60094497602181,0.00195889
79,0.2,1,-5,260.0,11.0,56,job__33_920954__260_000000__11_0,14551799,-3.55034227,322.7160030052592,-3.48744227,33.92095391909316,0.00187698
80,0.2,1,-5,260.0,11.0,56,job__34_240963__260_000000__11_0,14551803,-3.54598295,326.2381667918858,-3.48308295,34.24096311123453,0.0017955299999998
81,0.2,1,-5,260.0,11.0,56,job__34_560972__260_000000__11_0,14551808,-3.54109623,329.1412471825695,-3.47819623,34.56097219244739,0.0017179
82,0.2,1,-5,260.0,11.0,56,job__34_880981__260_000000__11_0,14551814,-3.53571728,331.86401202103684,-3.47281728,34.88098117400507,2.112999999992482e-05
83,0.2,1,-5,260.0,11.0,56,job__35_200990__260_000000__11_0,14551819,-3.52988195,335.1818181818182,-3.46698195,35.20099001770926,0.0015696699999998
84,0.2,1,-5,280.0,11.0,56,job__28_800810__280_000000__11_0,14551823,-3.51575285,306.58226897069875,-3.45615285,28.80081013236044,0.0035525899999999
85,0.2,1,-5,280.0,11.0,56,job__29_120819__280_000000__11_0,14551827,-3.52571662,309.7918858001503,-3.46611662,29.120818939160543,0.00339744
86,0.2,1,-5,280.0,11.0,56,job__29_440828__280_000000__11_0,14551832,-3.5344369,313.3711495116454,-3.4748369,29.440828149658053,0.0032490199999997
