,sigma,Ca_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
82,0.2,1,-5,260.0,11.0,56,job__45_927804__260_000000__11_0,14541592,-6.79898466,437.1472577009767,-6.54448466,45.92780424153807,0.00027704999999933477
83,0.2,1,-5,260.0,11.0,56,job__46_349160__260_000000__11_0,14541597,-6.79599065,441.2945154019534,-6.54149065,46.3491601728603,6.296000000016733e-05
84,0.2,1,-5,280.0,11.0,56,job__37_922040__280_000000__11_0,14541601,-6.8064443,403.282494365139,-6.6991442999999995,37.92204012086599,0.0001296699999997486
85,0.2,1,-5,280.0,11.0,56,job__38_343396__280_000000__11_0,14541604,-6.81221932,408.060856498873,-6.704919319999999,38.3433960584714,0.0001412700000003042
86,0.2,1,-5,280.0,11.0,56,job__38_764752__280_000000__11_0,14541608,-6.81667731,412.5326821938392,-6.70937731,38.76475179313074,0.00015310999999940123
87,0.2,1,-5,280.0,11.0,56,job__39_186108__280_000000__11_0,14541612,-6.82074904,417.07663410969195,-6.7134490399999995,39.18610790777517,0.00017038000000013653
88,0.2,1,-5,280.0,11.0,56,job__39_607464__280_000000__11_0,14541616,-6.82321615,421.13373403456046,-6.71591615,39.60746399404696,8.790000000757914e-06
89,0.2,1,-5,280.0,11.0,56,job__40_028820__280_000000__11_0,14541619,-6.82652149,425.7738542449286,-6.71922149,40.028819879660865,8.880000000210941e-06
90,0.2,1,-5,280.0,11.0,56,job__40_450176__280_000000__11_0,14541623,-6.82856982,430.11945905334335,-6.72126982,40.45017602158933,1.0790000000149291e-05
91,0.2,1,-5,280.0,11.0,56,job__40_871532__280_000000__11_0,14541627,-6.83079764,434.80315552216376,-6.72349764,40.8715321241908,8.199999994573659e-07
92,0.2,1,-5,280.0,11.0,56,job__41_292888__280_000000__11_0,14541629,-6.83238027,439.52742299023294,-6.725080269999999,41.292887959934625,5.800000000277805e-07
93,0.2,1,-5,280.0,11.0,56,job__41_714244__280_000000__11_0,14541633,-6.83284747,443.9451540195342,-6.7255474699999995,41.71424377296478,5.400000000044258e-06
94,0.2,1,-5,280.0,11.0,56,job__42_135600__280_000000__11_0,14541637,-6.8331224,448.48910593538693,-6.725822399999999,42.135599785982734,5.019999999689162e-06
95,0.2,1,-5,280.0,11.0,56,job__42_556956__280_000000__11_0,14541641,-6.83231681,452.7145003756574,-6.72501681,42.556956149775516,4.839999999894928e-06
96,0.2,1,-5,280.0,11.0,56,job__42_978312__280_000000__11_0,14541645,-6.83121502,457.04207362885046,-6.72391502,42.97831196556285,4.869999999712604e-06
97,0.2,1,-5,280.0,11.0,56,job__43_399668__280_000000__11_0,14541650,-6.82992907,461.45980465815177,-6.72262907,43.39966800570243,5.390000000105033e-06
98,0.2,1,-5,280.0,11.0,56,job__43_821024__280_000000__11_0,14541653,-6.82839222,465.93163035311795,-6.721092219999999,43.821023905940436,5.059999999446063e-06
99,0.2,1,-5,280.0,11.0,56,job__44_242380__280_000000__11_0,14541657,-6.8276958,471.0570999248685,-6.7203957999999995,44.242379977316475,5.370000000226582e-06
100,0.2,1,-5,280.0,11.0,56,job__44_663736__280_000000__11_0,14541660,-6.82548014,475.564988730278,-6.718180139999999,44.66373623576788,5.2500000000677005e-06
101,0.2,1,-5,280.0,11.0,56,job__45_085092__280_000000__11_0,14541666,-6.82211045,479.65815176558976,-6.71481045,45.08509187473613,5.600000000605121e-06
102,0.2,1,-5,280.0,11.0,56,job__45_506448__280_000000__11_0,14541669,-6.81819762,483.65815176558976,-6.71089762,45.50644809268554,6.230000000329028e-06
103,0.2,1,-5,280.0,11.0,56,job__45_927804__280_000000__11_0,14541673,-6.81612738,488.79714500375655,-6.70882738,45.92780424153807,6.739999999894053e-06
104,0.2,1,-5,280.0,11.0,56,job__46_349160__280_000000__11_0,14541676,-6.81263336,493.3230653643877,-6.70533336,46.3491601728603,6.380000000305586e-06
105,0.2,1,-5,300.0,11.0,56,job__37_922040__300_000000__11_0,14541680,-6.82079791,447.5694966190834,-6.75829791,37.92204012086599,0.00014276000000013056
106,0.2,1,-5,300.0,11.0,56,job__38_343396__300_000000__11_0,14541684,-6.82559908,451.9932381667919,-6.76309908,38.3433960584714,0.0001508799999996313
107,0.2,1,-5,300.0,11.0,56,job__38_764752__300_000000__11_0,14541687,-6.8301582,457.04207362885046,-6.7676582,38.76475179313074,0.000163280000000654
108,0.2,1,-5,300.0,11.0,56,job__39_186108__300_000000__11_0,14541691,-6.8342453,462.1810668670173,-6.7717453,39.18610790777517,0.0001785500000002216
109,0.2,1,-5,300.0,11.0,56,job__39_607464__300_000000__11_0,14541695,-6.83783609,467.3425995492111,-6.77533609,39.60746399404696,0.00018967000000014167
110,0.2,1,-5,300.0,11.0,56,job__40_028820__300_000000__11_0,14541699,-6.84090944,472.5717505634861,-6.77840944,40.028819879660865,9.129999999579752e-06
111,0.2,1,-5,300.0,11.0,56,job__40_450176__300_000000__11_0,14541702,-6.84313514,477.2960180315552,-6.78063514,40.45017602158933,9.100000000650255e-06
112,0.2,1,-5,300.0,11.0,56,job__40_871532__300_000000__11_0,14541707,-6.84473349,481.92712246431256,-6.78223349,40.8715321241908,8.789999999869735e-06
113,0.2,1,-5,300.0,11.0,56,job__41_292888__300_000000__11_0,14541710,-6.84620224,487.39068369646884,-6.78370224,41.292887959934625,5.350000000348132e-06
